Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
AA ELIE SAAB GIRL OF NOW 50ML 2 PCE SET (P22),50ML,8760274,7.64023E+12,0,0.0,Red,False,BAZM3
AA ELIE SAAB LE PARFUM 2 PCE SET (P22),50ML,8760282,7.64023E+12,0,0.0,Red,False,BAZL3
AA ELIE SAAB LE PARFUM EDP 50ML SET (P25),SET,8790198,7.64023E+12,0,0.0,Red,True,
AA FAME 50ML EDP 3 PCE SET (P23),3 PCE,8793820,3.34967E+12,0,0.0,Red,False,BAZJ5
AA FAME 80ML EDP 3 PCE SET (P23),3 PCE,8793838,3.34967E+12,0,0.0,Red,False,BAZH3
AA FAME EDP 50ML + 100ML BODY LOTION + 10ML PS (P25),3PCE,8821795,3.34967E+12,0,0.0,Red,True,BAZO5
AA FAME EDP 80ML + 100ML BODY LOTION + 10ML PS (P25),3PCE,8821787,3.34967E+12,0,0.0,Red,False,BAZO3
AA FCUK FRICTION 100ML EDT 3PC SET (P23),SET,8793226,085715675262,3,3.0,Green,False,BAZI3
AA GHOST 30ML EDT + SOAP &amp; DEODORANT (P24),3PCE,8822652,,0,0.0,Red,False,
AA GHOST DEEP NIGHT EDT 50ML +50ML + ELIXIR 10ML SET (P25),3PC,9571944,,0,0.0,Red,True,
AA GHOST EDT 30ML 2PC SET (P23),SET,8800302,5.05046E+12,0,0.0,Red,False,BAZP3
AA GHOST MINI MOON COLLECTION (P25),TRIO,8822660,5.05456E+11,1,4.0,Green,True,BAZO5
AA GHOST ORB OF THE NIGHT 30ML SET (P22),,8760167,5.05046E+12,0,0.0,Red,False,BAZL3
AA GHOST ORIGINAL EDT 30ML SET (P25),2PC,8760142,5.05046E+12,0,0.0,Red,True,BAZG3
AA GHOST PURITY 30ML EDT GIFT SET,30ML,8711756,5.05046E+12,0,0.0,Red,False,BAZN3
AA GHOST SWEETHEART 30ML EDT + 10ML PS (P24),2PCE,8822645,,0,0.0,Red,False,
AA GHOST SWEETHEART 30ML SET (P22),,8760159,5.05046E+12,0,0.0,Red,False,BAZO3
AA GHOST SWEETHEART 50ML + GHOST 50ML EDT DUO (P25),2X50ML,8822637,5.05046E+12,0,0.0,Red,True,BAZN3
AA GHOST THE FRAGRANCE 5ML + LIP OIL GIFT BAUBLE (P24),BAUBLE,8831703,5.05046E+12,0,0.0,Red,False,BAZL3
AA GIORGIO BEV HILLS 90ML EDT 2 PCE SET (P24),SET,8825143,7.19346E+11,0,0.0,Red,False,BAZI3
AA GOOD GIRL 50ML EDP  + BL 75ML (P22),50ML,9887555,8.41106E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,85715330208,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0.0,Red,True,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,8.43542E+12,0,0.0,Red,False,BAZK5
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,8.43542E+12,0,0.0,Red,False,BAZG3
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,8.43542E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,8.43542E+12,0,0.0,Red,False,BAZI5
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.38646E+12,0,0.0,Red,False,BAZP5
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.38646E+12,0,0.0,Red,False,BAZK3
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
